id,question
0,How many calories are there in this recipe?
0,What is the macronutrient breakdown?
0,Is soy or dairy included in the dietary category?
1,What is the nutritional information of this recipe?
1,Is there anything I should avoid eating with this recipe?
2,What is the nutritional information for this Greek Salad recipe?
2,What equipment is needed to prepare this dish?
2,Can I use a stand mixer instead of an Instant Pot for cooking?
2,Is there any alternative ingredient for cheese in this recipe?
2,How long should I cook the salad in the Air Fryer before serving it?
3,What is the nutritional information of this recipe?
3,Do you recommend using an Instant Pot or stove for this recipe?
3,Can I substitute egg with anything else in this recipe?
3,Is there any equipment needed for this recipe?
3,Could you suggest a time and temperature to cook this dish on the stove?
4,How many calories are there in this recipe?
4,What is the dietary category of this recipe?
4,Is any dairy used in this recipe?
5,What is the nutritional information of this recipe?
5,What equipment is needed for this dish?
6,What is the dietary category for this recipe?
6,Is there any equipment needed for cooking?
6,How long does it take to prepare?
6,What are the nutritional information?
6,Are there any allergens mentioned?
7,What are the nutritional information of this recipe?
7,How long does it take to prepare?
7,What equipment is needed for this recipe?
7,Can I substitute any ingredients in this recipe?
7,Is it suitable for a gluten-free diet?
8,What are the ingredients required for Falafel Wrap?
8,Is the preparation time for this recipe 10 minutes or less?
9,What ingredients are needed for the recipe?
9,How long does it take to prepare the dish?
9,Is the recipe suitable for all dietary categories?
9,Does the recipe require specific equipment?
9,Are there any allergens present in the recipe?
10,How many calories are in this recipe?
10,What is the nutritional information of Falafel Wrap?
10,Do you have any equipment needed for making this recipe?
10,Can I make this recipe with Instant Pot or grill?
10,What is the duration to prepare it?
11,{'text': 'What is the nutritional information for this Greek Salad recipe?'}
11,{'text': 'How long does it take to prepare this recipe on the stove?'}
11,{'text': 'What equipment is needed for cooking this salad?'}
11,{'text': 'Is there any dairy in this recipe?'}
11,{'text': 'Can I substitute chicken with tofu in this recipe?'}
12,Is it suitable for a vegetarian diet?
12,How long does it take to prepare this recipe?
12,What are the nutritional benefits of this meal?
13,How many calories are in this recipe?
13,What is the serving size of this recipe?
13,Is there any dairy or soy in this recipe?
13,Can I substitute bell pepper with other vegetables?
13,How long does it take to prepare this recipe?
14,What is the recipe for Tofu Curry?
14,"Is there a specific dietary category for this dish? If so, what is it?"
14,Are there any allergens present in this recipe?
15,Can I replace the chicken with turkey for this recipe?
15,What is the nutritional information of this sandwich? Is it suitable for anyone with a dietary restriction?
15,How long should I grill the vegetables for?
15,How many calories are in the lunch sandwich and what nutrients are in it?
16,"{'recipe_name': 'Oatmeal with Berries', 'meal_type': 'Breakfast', 'dietary_category': 'Keto', 'ingredients': 'milk, avocado, egg, beans, chicken'}"
16,"{'equipment_needed': 'Oven, Air Fryer', 'nutritional_information': '277 kcal, Protein: 20.2g, Carbs: 37.7g, Fats: 6.6g', 'instructions': '1. Sauté ingredients on Oven. 2. Add seasoning and cook thoroughly. 3. Serve warm and enjoy.'}"
16,{'allergens': 'Shellfish'}
16,{'prep_time_minutes': '59'}
17,What is the dietary category of this recipe?
17,How long does it take to prepare?
17,Can I use a rice cooker instead of an Air Fryer?
17,Is there any dairy in the recipe?
17,What are the nutritional values of the meal?
18,What is the dietary category of this recipe?
18,How long does it take to prepare the recipe?
18,Can I use dairy in this recipe?
19,What is the nutritional information of this recipe?
19,How long does it take to prepare this recipe?
19,What equipment is needed for this recipe?
19,Is there anything I need to avoid while preparing this recipe?
19,Can you suggest any side dishes that would go well with this curry?
20,What is the nutritional information of this sandwich?
20,Can I substitute chicken for turkey if needed?
20,How long should I prepare vegetables and beans before cooking with blender?
20,Are there any allergens in this recipe?
20,Is it possible to make this recipe without using an air fryer?
21,Falafel Wrap
21,Dairy and Soy Safe?
21,Prep Time
21,Gluten-Free Option Available?
21,Equipment Required
22,What are the ingredients needed for Spaghetti Carbonara?
22,Is there any equipment required for cooking this recipe?
23,What is the nutritional information for this recipe?
23,Are there any allergens listed?
23,How long does it take to prepare?
23,Is this a lunch or dinner recipe?
23,Can I substitute tofu with another protein?
24,"How long does it take to make pancakes with tofu, cheese, avocado, beans, and quinoa?"
24,"What equipment is needed for making pancakes with tofu, cheese, avocado, beans, and quinoa?"
25,What is the nutritional information for this recipe?
